Galaxy,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")",Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12 PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type
LMC,79.8939,-68.5061,,,,,,,0,0,,,,,,,41510,,18.47,0.16,,0.05,,,,,,,,,,,,,,,,,,,,,-17.88,0.91,0.324,0.05,0.17,,8.45,8.45,0,0,0,0,MCS,8.45,0,SB(s)m
SMC,19.1866,-72.6286,,,,,,,0,0,,,,,,,19868,,18.94,0.22,,0.06,,,,,,,,,,,,,,,,,,,,,-16.4,2.7,0.16,0.1,0.24,,8.02,8.02,0,0,0,0,MCS,8.02,0,SB(s)m pec
