index,Galaxy,Alias,Survey,Project,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),VLA Config,"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")","HI sz_temp ("")",Ref(HI),SD comparison,HI quality comments,Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12M KK04,Log(O/H)+12 PT05,Log(O/H)+12M PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type,Web Log(Mstar),Web Log(Mstar) Error,Web Log(SFR),Web Log(SFR) Error,Web Log(MH2),Web Log(MH2) Error,Web Log(MHI),Web Log(MHI) (Error),21cmsize(arcmin),SDRA,SDDEC,SDSS,GALEX/HERSCHEL/THINGs
1,ngc0337,n0337,STING,SGP,14.95871,-7.57797,0.56,56,158,52,121,2008MNRAS.385..553D,52,121,,,,,,,173,9.297,31.64,0.2,-22.34,21.3,"This spiral has been classified as a ""peculiar"" galaxy because of its irregular arm morphology, consisting of multiple segments.",A bright peak of CO emission appears southeast of the galaxy center.,,,S4G,2.53,2.23,-18,137,133,1,0.245,C+D,28.51,20.52,-164,126,126,8,2.5,1008,425,archive,another galaxy is to the south of NGC0337,,-19.99,12.06,0.406,0.13,0.24,-20.4,8.93,8.93,8.26,8.26,8.93,0,8.26,0,M2010,8.595,0.34,SBcd,9.64,0.11,-0.05,0.34,8.94,0.22,9.72,0.02,8.5,14.95875,-7.5758333,yes,
2,SMC,smc,"MAGMA,NANTEN,ATCA",MGP,19.1866,-72.6286,,,,,,,0,45,,,,,,,18973,,18.94,0.22,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,-16.4,2.7,0.16,0.1,0.24,,8.02,8.02,8.02,8.02,8.02,0,8.02,0,MCS,8.02,0,SB(s)m pec,,,,,,,,,,,,,
3,ngc0628,"n0628,ngc628","HERACLES,THINGS,CANON","TGP,CGP",24.17375,15.78306,0.86,31,88,,,,24,25,,,,,,,628.3,7.187,29.93,0.28,7.187,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,-20.23,9.95,0.254,0.1,0.3,,9.25,9.02,8.45,8.35,9.19,-0.57,8.43,-0.27,M2010,8.85,0.4,SAc,,,,,,,,,,,,,Y/K/Y
4,ngc0772,"n0772,ngc772",STING,SGP,29.83158,19.00753,0.8,37,135,N/A,N/A,,37,315,,,,,,,434.7,7.44,32.4,0.47,-24.96,30.2,"This ""lopsided"" galaxy has one especially strong spiral arm, with the other arms appearing relatively smooth.","CO emission is notably absent from the central region, but is well-detected in the arms.",,Y,S4G,2.68,1.5,50,137,134,1,0.294,BC+D,48.09,42.98,89,135,135,12,6.66,1620,850,archive,,"interference: Amp& phase show strong nonlinear changing across the bandwith and time at some short baselines, indicating strong continuum source(s) showed in sidelobes.",-21.57,11.09,0.263,0.13,0.49,-22.4,8.87,8.87,8.66,8.66,8.87,0,8.66,0,Anderson2010,8.765,0.21,Sb,11.29,0.18,1.01,0.21,10.25,0.08,10.12,0.02,8.5,29.82354167,18.94474444,yes,
5,ngc0925,"n0925,ngc925","HERACLES,THINGS",TGP,36.820379,33.57915,,,,,,,56,102,,,,,,,628.3,,29.77,0.33,,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,-19.36,10.69,0.275,0.11,0.35,,8.96,8.79,8.34,8.25,8.91,0.42,8.32,-0.21,M2010,8.52,0.27,SABd,,,,,,,,,,,,,
6,ngc1156,n1156,STING,SGP,44.92625,25.23783,0.4,67,40,52.11,271.88,2011A&A...530A..29V,52,272,N/A,,,,,,198.7,9.545,29.24,0.31,-19.7,7,,,,,Fazio 4434176,3.89,2.77,88,137,134,1,0.112,B+C+D,6.97,6.23,-23,301,301,2,0.23,602,325,lthings/wrst,continuum subtraction problem,not many line-free channels for continuum-subtraction,-17.73,12.32,0.811,0.13,0.34,-18.34,8.18,8.18,8.18,8.18,8.18,0,8.18,0,Engelbracht2008,8.18,0.1,IB,8.98,0.11,-0.24,0.28,9.32,0,9.03,0.01,7.5,,,no,
7,ngc1569,n1569,STING,SGP,67.70441,64.84794,0.46,63,118,63,112,2005AJ....130..524M,63,112,,,,,,,217.8,7.997,26.99,0.96,-18.99,2.5,"This dwarf irregular galaxy has recently undergone a period of starburst activity, leading to the formation of two massive star clusters (""super star clusters"").",CO emission is confined to a few off-center blobs.,,,Fazio 4434944,4.74,4.27,87,136,133,1,0.055,B+C+D,6.65,5.61,17,451,451,2,0.07,902,400,lthings/things,,Galactic Component,-17.65,11.86,2.516,0.09,0.96,-18.69,8.13,8.13,8.13,8.13,8.13,0,8.13,0,Engelbracht2008,8.13,0.12,IB,9.73,0.11,-0.27,0.34,6.63,0.07,7.97,0.02,7.5,,,no,
8,ngc1637,n1637,STING,SGP,70.36741,-2.85796,0.78,39,33,N/A,N/A,,39,213,18.19,5.09,197.99,0.7,720.55,1.11,238.9,8.196,29.95,0.54,-21.75,9.8,"Weakly barred galaxy with an asymmetric outer spiral arm, in contrast to two fairly symmetric inner spiral arms.",Spiral arms emanating from a horizontal bar-like structure are clearly visible in CO.,,Y,S4G,2.81,2.43,-20,137,133,1,0.124,C+D,23.27,19.22,169,201,201,8,1,1608,1000,archive,,,-18.63,11.47,0.147,0.13,0.56,-18.68,9.1,9.1,8.5,8.5,9.12,-0.34,8.52,-0.34,vanZee1998,8.68,0.34,Sc,9.73,0.12,-0.09,0.22,9.43,0,9.28,0.01,6.5,,,no,
9,LMC,lmc,"MAGMA,NANTEN,ATCA",MGP,79.8939,-68.5061,,,,,,,0,170,,,,,,,38739,,18.47,0.16,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,-17.88,0.91,0.324,0.05,0.17,,8.45,8.45,8.45,8.45,8.46,-0.03,8.46,-0.03,MCS,8.45,0,SB(s)m,,,,,,,,,,,,,
10,ngc2366,n2366,"HERACLES,THINGS",TGP,112.2225,69.21417,,,,,,,66,26,,,,,,,487.7,,27.6,0.45,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3,11.43,0.132,0.1,0.46,,8.44,8.44,7.94,7.94,8.44,0,7.94,0,LZ-M2010,8.19,0.25,,,,,,,,,,,,,,
